Category,Set,List,Expressivity,Particle,Position,Modifier,Particle,Verb,Sentence
ADJ,FILLER,both,baseline,FILLER,FILLER,no,FILLER,FILLER,Inas Rucksack ist neu.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Volkers Mützen sind ganz und gar groß.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Der neue Bahnhof ist geradezu gigantisch.
ADJ,FILLER,both,baseline,FILLER,FILLER,no,FILLER,FILLER,Das alte Haus am Stadtrand ist klein.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Das Gebäude für den Kindergarten wird geradezu groß.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Seine Schulleistungen waren einfach exzellent.
ADJ,FILLER,both,baseline,FILLER,FILLER,no,FILLER,FILLER,Ihre Aufsätze waren gut.
ADJ,FILLER,both,extreme,FILLER,FILLER,yes,FILLER,FILLER,Lisas Zeugnisse waren einfach ausreichend.
GOOD,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,"Man sagt, Stalin hatte schon als Kind einen absoluten Dickschädel."
GOOD,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,Der kleine Junge hatte eine richtige Blase an seinem Daumen.
GOOD,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,Einen regelrechten Schock löste der Anschlag auf die Bevölkerung aus.
GOOD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Der Apfelkuchen wurde ganz schnell aufgegessen.
GOOD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Politische Entscheidungen werden meist kritisch hinterfragt.
GOOD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,"Es gibt eine Barbie-Puppe, die nach Angela Merkel modelliert ist."
GOOD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,"Dass Helmut Kohl Angela Merkel früher als ""sein Mädchen"" bezeichnete, kann man sich heute gar nicht mehr vorstellen."
GOOD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,"Mark meinte, er hätte heute noch gar nichts gegessen, weshalb wir in die Mensa gingen."
GOOD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Ohne Fleiß kein Preis.
GOOD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Auf der Party tanzte Uta.
MEDIUM,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,Bei der Klausur lief Tanja leider ziemlich auf dem Holzweg.
MEDIUM,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,"Wäre der Professor nur ein bisschen jünger, würde er äußerst attraktiv sein."
MEDIUM,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,"Der vortragende Forscher trug ein unglaublich schlechtes sitzendes Hemd, wie sie nur Akademiker tragen."
MEDIUM,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Unerwiderte Liebe intrigiert so manchen zu unüberlegten Dummheiten.
MEDIUM,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Der Film zog sich mehr als gestern.
MEDIUM,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Der Bagger schiebte einen Haufen Steine von einer Ecke in die andere.
MEDIUM,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Ohne Schlaf friert's es einen immer.
MEDIUM,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Die Handyrechnung überstieg jegliche Toleranzgrenze von Saskias Mutter.
MEDIUM,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,"Olafs Vater meinte ärgerlich, bei dem Lärm drehe ja der Hund in der Pfanne durch."
MEDIUM,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Frau Brecht montierte letzte Woche die Bild-Zeitung ab.
BAD,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,Der Kaugummi hat unglaublich an den Zähnen gekloben.
BAD,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,Der Direktor hat dem frechen Schülern ganz schön was gepfiffen.
BAD,FILLER,both,FILLER,FILLER,FILLER,yes,FILLER,FILLER,Johanna war der beste Studierende des Jahrgangs.
BAD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Albert war ein Suffross in seiner Jugend.
BAD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Die Kälte machten den Seeleuten zu schaffen.
BAD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Am Montag zogen der Handwerker die Decke ein.
BAD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,"Das Telefon littete schrill, so dass die Kinder wach wurden."
BAD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,"Sauerkraut und Würstchen köchten vor sich hin, während die Mutter die Kinder abholte."
BAD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Das Feuer bruch in der Scheune aus.
BAD,FILLER,both,FILLER,FILLER,FILLER,no,FILLER,FILLER,Die Schlüssel für die Kommode liegt in der Schublade.
